Estructura,N,Trial,Preprocesamiento_ns,TiempoBatch_s,Throughput,Memoria_Bytes
Naive,1024,11,283,2.171427,2302633.176399,0
Full_Precalc,1024,11,3822840,0.019683,254031105.295944,4202496
Block_Decomp,1024,11,6568,0.705186,7090324.754557,128
Sparse_Table,1024,11,90372,0.087010,57464364.020564,53248
Segment_Tree,1024,11,39707,1.312562,3809343.822745,16388
Hybrid_1,1024,11,20457,0.555811,8995871.551656,3708
Hybrid_2,1024,11,82762,0.300471,16640563.391434,29116
Hybrid_3,1024,11,63323,0.861972,5800651.225888,15220
Fischer_Heun,1024,11,40355,0.181833,27497698.140191,17537
Naive,1024,12,341,2.158660,2316251.567432,0
Full_Precalc,1024,12,5162310,0.020480,244143998.669513,4202496
Block_Decomp,1024,12,8012,0.715855,6984659.035983,128
Sparse_Table,1024,12,81422,0.102123,48960628.046569,53248
Segment_Tree,1024,12,40332,1.284456,3892698.634115,16388
Hybrid_1,1024,12,16186,0.549187,9104368.011928,3708
Hybrid_2,1024,12,57051,0.297633,16799187.787493,29116
Hybrid_3,1024,12,63705,0.876600,5703853.893528,15220
Fischer_Heun,1024,12,38550,0.194960,25646240.113477,17512
Naive,1024,13,259,2.248716,2223491.231914,0
Full_Precalc,1024,13,3825501,0.019352,258377209.228490,4202496
Block_Decomp,1024,13,8192,0.714217,7000676.571986,128
Sparse_Table,1024,13,73419,0.100993,49508293.040101,53248
Segment_Tree,1024,13,41696,1.306069,3828281.297001,16388
Hybrid_1,1024,13,16411,0.544150,9188638.717214,3708
Hybrid_2,1024,13,65677,0.300695,16628141.424644,29116
Hybrid_3,1024,13,67847,0.871686,5736010.332262,15220
Fischer_Heun,1024,13,48449,0.182738,27361616.857917,17512
Naive,1024,14,233,2.250562,2221667.665338,0
Full_Precalc,1024,14,5440490,0.023244,215111487.336322,4202496
Block_Decomp,1024,14,7786,0.686685,7281353.977325,128
Sparse_Table,1024,14,75061,0.091677,54539446.876637,53248
Segment_Tree,1024,14,37916,1.294151,3863537.739108,16388
Hybrid_1,1024,14,18063,0.536108,9326476.957632,3708
Hybrid_2,1024,14,59804,0.301931,16560088.037667,29116
Hybrid_3,1024,14,67093,0.873459,5724366.808353,15220
Fischer_Heun,1024,14,47002,0.196221,25481472.031819,17512
Naive,1024,15,609,2.192379,2280627.892291,0
Full_Precalc,1024,15,4991529,0.022736,219918028.633679,4202496
Block_Decomp,1024,15,7361,0.726452,6882769.524041,128
Sparse_Table,1024,15,102709,0.101470,49275762.580861,53248
Segment_Tree,1024,15,50286,1.318955,3790878.834823,16388
Hybrid_1,1024,15,17436,0.525500,9514746.627968,3708
Hybrid_2,1024,15,60532,0.290687,17200618.056736,29116
Hybrid_3,1024,15,73430,0.876613,5703770.041760,15220
Fischer_Heun,1024,15,72143,0.188231,26563166.370232,17537
Naive,1024,16,220,2.203822,2268785.813229,0
Full_Precalc,1024,16,4082667,0.020534,243503497.148525,4202496
Block_Decomp,1024,16,8841,0.696023,7183669.550212,128
Sparse_Table,1024,16,80901,0.096329,51905353.660397,53248
Segment_Tree,1024,16,38162,1.311290,3813040.408919,16388
Hybrid_1,1024,16,21692,0.537761,9297812.137962,3708
Hybrid_2,1024,16,64767,0.300688,16628556.730638,29116
Hybrid_3,1024,16,71615,0.863755,5788675.976022,15220
Fischer_Heun,1024,16,36677,0.193580,25829062.140606,17487
Naive,1024,17,314,2.181080,2292442.191168,0
Full_Precalc,1024,17,4210034,0.019849,251897759.938714,4202496
Block_Decomp,1024,17,9322,0.730203,6847407.465193,128
Sparse_Table,1024,17,74579,0.100423,49789253.045494,53248
Segment_Tree,1024,17,40055,1.289219,3878316.940356,16388
Hybrid_1,1024,17,14334,0.553103,9039900.613452,3708
Hybrid_2,1024,17,58621,0.306878,16293132.324482,29116
Hybrid_3,1024,17,59171,0.857140,5833349.654073,15220
Fischer_Heun,1024,17,35505,0.173491,28819981.478781,17537
Naive,1024,18,540,2.155162,2320010.678508,0
Full_Precalc,1024,18,4885785,0.021075,237250355.685733,4202496
Block_Decomp,1024,18,8931,0.704912,7093084.512846,128
Sparse_Table,1024,18,75288,0.102379,48837993.708651,53248
Segment_Tree,1024,18,39852,1.286496,3886524.838903,16388
Hybrid_1,1024,18,18936,0.544882,9176295.302858,3708
Hybrid_2,1024,18,59939,0.293164,17055311.507692,29116
Hybrid_3,1024,18,61361,0.862706,5795719.622044,15220
Fischer_Heun,1024,18,39221,0.210082,23800217.471155,17487
Naive,1024,19,321,2.144890,2331121.395337,0
Full_Precalc,1024,19,3939739,0.018816,265734385.407653,4202496
Block_Decomp,1024,19,7656,0.703203,7110317.839811,128
Sparse_Table,1024,19,73635,0.108885,45919885.889451,53248
Segment_Tree,1024,19,36689,1.311532,3812334.771028,16388
Hybrid_1,1024,19,18600,0.562756,8884845.881233,3708
Hybrid_2,1024,19,64567,0.311179,16067947.312918,29116
Hybrid_3,1024,19,70448,0.873958,5721100.682881,15220
Fischer_Heun,1024,19,33899,0.201315,24836697.595657,17562
Naive,1024,20,287,2.169558,2304616.828799,0
Full_Precalc,1024,20,4720755,0.023495,212814850.526723,4202496
Block_Decomp,1024,20,6985,0.673918,7419297.089294,128
Sparse_Table,1024,20,77153,0.128664,38860796.980075,53248
Segment_Tree,1024,20,40307,1.298924,3849338.694237,16388
Hybrid_1,1024,20,19508,0.545700,9162536.638006,3708
Hybrid_2,1024,20,58635,0.307935,16237199.030689,29116
Hybrid_3,1024,20,64264,0.893771,5594272.158105,15220
Fischer_Heun,1024,20,38551,0.186271,26842576.737478,17562
Naive,1024,21,228,2.164158,2310367.788945,0
Full_Precalc,1024,21,3852782,0.019483,256629681.368074,4202496
Block_Decomp,1024,21,8101,0.707885,7063292.692414,128
Sparse_Table,1024,21,106925,0.099352,50326129.929566,53248
Segment_Tree,1024,21,36765,1.275599,3919726.352991,16388
Hybrid_1,1024,21,18948,0.558001,8960554.286985,3708
Hybrid_2,1024,21,56256,0.306764,16299180.401255,29116
Hybrid_3,1024,21,67317,0.975686,5124598.519863,15220
Fischer_Heun,1024,21,58197,0.213398,23430372.078104,17537
Naive,1024,22,210,2.190161,2282937.198801,0
Full_Precalc,1024,22,4645333,0.021277,234994894.500922,4202496
Block_Decomp,1024,22,7530,0.738017,6774910.339583,128
Sparse_Table,1024,22,73842,0.104815,47703099.571863,53248
Segment_Tree,1024,22,36362,1.421290,3517931.586813,16388
Hybrid_1,1024,22,16045,0.556171,8990048.187467,3708
Hybrid_2,1024,22,59760,0.302974,16503039.797219,29116
Hybrid_3,1024,22,58813,0.896838,5575140.640561,15220
Fischer_Heun,1024,22,37924,0.247653,20189561.733312,17512
Naive,1024,23,314,2.884133,1733623.440330,0
Full_Precalc,1024,23,5158384,0.023762,210418838.276752,4202496
Block_Decomp,1024,23,8636,0.865761,5775265.721997,128
Sparse_Table,1024,23,90782,0.118773,42097024.194195,53248
Segment_Tree,1024,23,46304,1.762936,2836177.246632,16388
Hybrid_1,1024,23,23064,0.643888,7765322.306062,3708
Hybrid_2,1024,23,79684,0.381476,13106982.525792,29116
Hybrid_3,1024,23,97840,1.147937,4355640.545447,15220
Fischer_Heun,1024,23,48186,0.295600,16914770.204339,17462
Naive,1024,24,287,2.603797,1920272.717070,0
Full_Precalc,1024,24,4229278,0.020323,246031293.802796,4202496
Block_Decomp,1024,24,6332,0.885743,5644980.966868,128
Sparse_Table,1024,24,98975,0.108969,45884458.217287,53248
Segment_Tree,1024,24,55066,1.795462,2784798.462013,16388
Hybrid_1,1024,24,18327,0.659552,7580898.067875,3708
Hybrid_2,1024,24,78958,0.346588,14426370.074963,29116
Hybrid_3,1024,24,79066,1.015843,4922020.139607,15220
Fischer_Heun,1024,24,47822,0.199878,25015204.616594,17537
Naive,1024,25,295,2.838506,1761489.798627,0
Full_Precalc,1024,25,3985860,0.021258,235204374.726104,4202496
Block_Decomp,1024,25,7632,0.867958,5760648.732001,128
Sparse_Table,1024,25,103657,0.118942,42037232.225248,53248
Segment_Tree,1024,25,44909,1.714042,2917081.249060,16388
Hybrid_1,1024,25,22659,0.629648,7940945.071916,3708
Hybrid_2,1024,25,67131,0.385794,12960283.630727,29116
Hybrid_3,1024,25,94026,1.281391,3902009.022235,15220
Fischer_Heun,1024,25,59728,0.289991,17241898.767136,17512
Naive,1024,26,144,2.860126,1748174.494220,0
Full_Precalc,1024,26,5247193,0.021574,231762762.074434,4202496
Block_Decomp,1024,26,7222,0.798945,6258249.757819,128
Sparse_Table,1024,26,117710,0.102736,48668465.342831,53248
Segment_Tree,1024,26,42257,1.703890,2934461.001466,16388
Hybrid_1,1024,26,30960,0.740047,6756327.483447,3708
Hybrid_2,1024,26,86277,0.394270,12681659.606081,29116
Hybrid_3,1024,26,110990,1.193840,4188167.567211,15220
Fischer_Heun,1024,26,50654,0.242644,20606346.272463,17487
Naive,1024,27,374,2.941007,1700097.730730,0
Full_Precalc,1024,27,4807019,0.028156,177583474.621705,4202496
