Estructura,N,Trial,Preprocesamiento_ns,TiempoBatch_s,Throughput,Memoria_Bytes
Block_Decomp,4096,21,32988,1.724762,2898950.579832,256
Sparse_Table,4096,21,508402,0.159484,31351027.903644,245760
Segment_Tree,4096,21,183604,2.776613,1800755.295620,65540
Hybrid_1,4096,21,70527,0.868050,5760037.614059,15048
Hybrid_2,4096,21,577171,0.572446,8734449.962653,116096
Hybrid_3,4096,21,304871,1.767821,2828340.786528,53328
Fischer_Heun,4096,21,134362,0.376375,13284615.742503,70116
Naive,4096,22,351,11.550511,432881.280246,0
Full_Precalc,4096,22,86272606,0.094070,53151951.095443,67141632
Block_Decomp,4096,22,48451,1.444214,3462091.953636,256
Sparse_Table,4096,22,550761,0.147389,33923818.786369,245760
Segment_Tree,4096,22,172620,2.462283,2030635.769739,65540
Hybrid_1,4096,22,74636,0.924743,5406908.514282,15048
Hybrid_2,4096,22,504564,0.408534,12238868.473137,116096
Hybrid_3,4096,22,273857,1.539868,3247031.958061,53328
Fischer_Heun,4096,22,152574,0.232373,21517125.434948,69684
Naive,4096,23,457,11.291090,442827.039780,0
Full_Precalc,4096,23,100970136,0.158304,31584775.324670,67141632
Block_Decomp,4096,23,32650,1.677039,2981444.388139,256
Sparse_Table,4096,23,525340,0.174564,28642774.777285,245760
Segment_Tree,4096,23,216217,2.341546,2135341.281179,65540
Hybrid_1,4096,23,57568,0.860988,5807278.986806,15048
Hybrid_2,4096,23,362467,0.482883,10354484.964397,116096
Hybrid_3,4096,23,417641,1.473288,3393770.333003,53328
Fischer_Heun,4096,23,159718,0.224242,22297292.946312,69936
Naive,4096,24,285,12.105063,413050.300315,0
Full_Precalc,4096,24,94937476,0.085016,58812693.345994,67141632
Block_Decomp,4096,24,32646,2.127964,2349663.583744,256
Sparse_Table,4096,24,397433,0.114392,43709395.010134,245760
Segment_Tree,4096,24,135527,2.774734,1801974.256258,65540
Hybrid_1,4096,24,68766,0.977159,5116874.798227,15048
Hybrid_2,4096,24,368797,0.411639,12146563.309195,116096
Hybrid_3,4096,24,305104,1.279638,3907353.931275,53328
Fischer_Heun,4096,24,263595,0.308834,16189909.713245,69792
Naive,4096,25,491,12.535342,398872.259335,0
Full_Precalc,4096,25,91847169,0.094087,53142368.852552,67141632
Block_Decomp,4096,25,39304,1.598907,3127136.972048,256
Sparse_Table,4096,25,484860,0.125161,39948696.605461,245760
Segment_Tree,4096,25,129377,2.166019,2308382.818151,65540
Hybrid_1,4096,25,53153,0.704378,7098466.194942,15048
Hybrid_2,4096,25,367611,0.426108,11734127.326344,116096
Hybrid_3,4096,25,311641,1.268385,3942021.942794,53328
Fischer_Heun,4096,25,200448,0.306726,16301217.921371,69756
Naive,4096,26,312,11.014877,453931.528577,0
Full_Precalc,4096,26,69070663,0.053713,93086532.141858,67141632
Block_Decomp,4096,26,18396,1.662316,3007851.471698,256
Sparse_Table,4096,26,463401,0.129959,38473622.730487,245760
Segment_Tree,4096,26,151994,2.321728,2153568.104879,65540
Hybrid_1,4096,26,61420,0.717368,6969928.147429,15048
Hybrid_2,4096,26,340062,0.516827,9674411.380611,116096
Hybrid_3,4096,26,512343,1.537982,3251012.930778,53328
Fischer_Heun,4096,26,174035,0.220417,22684262.231868,70080
Naive,4096,27,240,11.011444,454073.067390,0
Full_Precalc,4096,27,71130991,0.099808,50095985.912848,67141632
Block_Decomp,4096,27,26864,1.317800,3794203.002811,256
Sparse_Table,4096,27,491664,0.129736,38539934.914837,245760
Segment_Tree,4096,27,166978,2.277136,2195740.259680,65540
Hybrid_1,4096,27,59770,0.645446,7746575.912741,15048
Hybrid_2,4096,27,307157,0.387247,12911663.470238,116096
Hybrid_3,4096,27,208918,1.192178,4194006.320906,53328
Fischer_Heun,4096,27,168753,0.241332,20718329.855320,69972
Naive,4096,28,140,11.345764,440693.106814,0
Full_Precalc,4096,28,73755326,0.069428,72016840.994233,67141632
Block_Decomp,4096,28,20069,1.325163,3773121.201879,256
Sparse_Table,4096,28,571026,0.122059,40963708.268202,245760
Segment_Tree,4096,28,178487,2.279851,2193125.639350,65540
Hybrid_1,4096,28,61319,0.675014,7407250.472461,15048
Hybrid_2,4096,28,329202,0.410571,12178170.175957,116096
Hybrid_3,4096,28,227734,1.263290,3957920.491222,53328
Fischer_Heun,4096,28,170394,0.207309,24118543.218765,69900
Naive,4096,29,317,10.455728,478206.790627,0
Full_Precalc,4096,29,68295748,0.072592,68878268.900652,67141632
Block_Decomp,4096,29,24844,1.459535,3425748.020233,256
Sparse_Table,4096,29,422370,0.127968,39072207.917409,245760
Segment_Tree,4096,29,151275,2.109460,2370274.781789,65540
Hybrid_1,4096,29,52037,0.691739,7228159.377722,15048
Hybrid_2,4096,29,313632,0.389923,12823041.294099,116096
Hybrid_3,4096,29,193264,1.250351,3998876.693143,53328
Fischer_Heun,4096,29,300826,0.313116,15968529.885592,69900
Naive,4096,30,526,9.811546,509603.685602,0
Full_Precalc,4096,30,71504078,0.073892,67666566.497593,67141632
Block_Decomp,4096,30,22834,1.439172,3474221.093615,256
Sparse_Table,4096,30,388238,0.114285,43750338.518244,245760
Segment_Tree,4096,30,144954,2.013184,2483628.208467,65540
Hybrid_1,4096,30,53475,0.669758,7465379.251464,15048
Hybrid_2,4096,30,344242,0.432115,11570999.295289,116096
Hybrid_3,4096,30,224852,1.146124,4362529.826824,53328
Fischer_Heun,4096,30,142035,0.217233,23016775.532869,69936
Naive,16384,1,353,40.051663,124838.762349,0
Full_Precalc,16384,1,1360370733,0.139174,35926334.230045,1073872896
Block_Decomp,16384,1,91004,2.379989,2100850.472297,512
Sparse_Table,16384,1,3002330,0.178599,27995637.182298,1114112
Segment_Tree,16384,1,376118,2.634762,1897704.788152,262148
Hybrid_1,16384,1,177184,0.756941,6605536.783391,60892
Hybrid_2,16384,1,1232315,0.492725,10147656.026219,463484
Hybrid_3,16384,1,880827,1.290546,3874330.558878,215420
Fischer_Heun,16384,1,939177,0.296772,16847957.541314,280058
Naive,16384,2,256,40.456939,123588.193326,0
Full_Precalc,16384,2,882602008,0.104046,48055493.099433,1073872896
Block_Decomp,16384,2,87991,1.931845,2588199.450905,512
Sparse_Table,16384,2,2269474,0.133268,37518383.726638,1114112
Segment_Tree,16384,2,324266,2.113751,2365462.545967,262148
Hybrid_1,16384,2,162173,0.617504,8097114.052358,60892
Hybrid_2,16384,2,1085607,0.386501,12936562.242348,463484
Hybrid_3,16384,2,676401,1.030295,4852978.836300,215420
Fischer_Heun,16384,2,524372,0.235479,21233309.970747,279568
Naive,16384,3,421,32.198857,155285.013375,0
Full_Precalc,16384,3,874646416,0.104693,47758623.789025,1073872896
Block_Decomp,16384,3,87859,1.885621,2651646.853591,512
Sparse_Table,16384,3,2371715,0.135993,36766466.617626,1114112
Segment_Tree,16384,3,388035,2.156420,2318658.156020,262148
Hybrid_1,16384,3,178431,0.614568,8135797.538622,60892
Hybrid_2,16384,3,1154135,0.409310,12215694.223094,463484
Hybrid_3,16384,3,656865,1.053608,4745597.465335,215420
Fischer_Heun,16384,3,547786,0.216207,23126010.239522,280107
Naive,16384,4,343,34.473987,145036.892233,0
Full_Precalc,16384,4,927503935,0.103553,48284348.925727,1073872896
Block_Decomp,16384,4,90247,1.891314,2643665.047915,512
Sparse_Table,16384,4,2214469,0.140987,35464219.145667,1114112
Segment_Tree,16384,4,305004,2.173362,2300583.022676,262148
Hybrid_1,16384,4,157971,0.678947,7364347.012143,60892
Hybrid_2,16384,4,959082,0.408521,12239265.069732,463484
Hybrid_3,16384,4,652099,1.052100,4752397.861548,215420
Fischer_Heun,16384,4,544292,0.205500,24330935.170929,280842
Naive,16384,5,505,32.245821,155058.852072,0
Full_Precalc,16384,5,882999053,0.083015,60230021.584392,1073872896
Block_Decomp,16384,5,88272,1.930143,2590482.078104,512
Sparse_Table,16384,5,2250346,0.133357,37493319.346626,1114112
Segment_Tree,16384,5,398504,2.173644,2300284.273685,262148
Hybrid_1,16384,5,165230,0.619615,8069522.577978,60892
Hybrid_2,16384,5,1019200,0.394251,12682280.032987,463484
Hybrid_3,16384,5,695713,1.038799,4813248.847121,215420
Fischer_Heun,16384,5,568837,0.259386,19276317.612354,280303
Naive,16384,6,537,32.810748,152389.090411,0
Full_Precalc,16384,6,898725290,0.103871,48136546.206468,1073872896
Block_Decomp,16384,6,107865,1.914965,2611013.806953,512
Sparse_Table,16384,6,2049908,0.131180,38115641.942879,1114112
Segment_Tree,16384,6,354064,2.188942,2284208.619973,262148
Hybrid_1,16384,6,155008,0.642335,7784099.324410,60892
Hybrid_2,16384,6,1115735,0.414663,12057998.567963,463484
Hybrid_3,16384,6,641534,1.049026,4766325.905949,215420
Fischer_Heun,16384,6,614425,0.227314,21996012.879528,280107
Naive,16384,7,549,31.986366,156316.602948,0
Full_Precalc,16384,7,878095061,0.103328,48389745.566427,1073872896
Block_Decomp,16384,7,87995,1.925453,2596791.308682,512
Sparse_Table,16384,7,2506965,0.136778,36555653.240384,1114112
Segment_Tree,16384,7,342066,2.175199,2298640.094316,262148
Hybrid_1,16384,7,165715,0.641221,7797624.277226,60892
Hybrid_2,16384,7,1004698,0.403279,12398379.318571,463484
Hybrid_3,16384,7,605133,1.042741,4795055.335869,215420
Fischer_Heun,16384,7,510066,0.252082,19834832.100189,280597
Naive,16384,8,495,31.967179,156410.422947,0
Full_Precalc,16384,8,893489902,0.105138,47556451.552921,1073872896
Block_Decomp,16384,8,87958,1.927314,2594284.282519,512
Sparse_Table,16384,8,2487384,0.131962,37889739.448706,1114112
Segment_Tree,16384,8,368008,2.183990,2289388.250977,262148
Hybrid_1,16384,8,210027,0.655255,7630617.251038,60892
Hybrid_2,16384,8,1148672,0.401820,12443372.204039,463484
Hybrid_3,16384,8,649714,1.093364,4573042.233403,215420
Fischer_Heun,16384,8,558460,0.224116,22309862.700375,279421
Naive,16384,9,294,33.103196,151042.817862,0
Full_Precalc,16384,9,909865499,0.102765,48654565.990665,1073872896
Block_Decomp,16384,9,86852,1.912552,2614307.789889,512
Sparse_Table,16384,9,2682177,0.133475,37460070.561587,1114112
Segment_Tree,16384,9,351273,2.189299,2283836.353117,262148
Hybrid_1,16384,9,152277,0.622014,8038399.291942,60892
Hybrid_2,16384,9,1067988,0.392011,12754730.689435,463484
Hybrid_3,16384,9,719110,1.085443,4606413.200469,215420
Fischer_Heun,16384,9,648803,0.249696,20024319.536077,279617
Naive,16384,10,609,33.272847,150272.681533,0
Full_Precalc,16384,10,830176172,0.073059,68437819.176879,1073872896
Block_Decomp,16384,10,68649,1.893035,2641261.072296,512
Sparse_Table,16384,10,2157146,0.125952,39697693.489377,1114112
Segment_Tree,16384,10,290349,2.172273,2301736.519476,262148
Hybrid_1,16384,10,157668,0.625622,7992046.711518,60892
Hybrid_2,16384,10,1057474,0.412114,12132578.361806,463484
Hybrid_3,16384,10,706762,1.017103,4915924.158436,215420
Fischer_Heun,16384,10,432178,0.200451,24943788.424472,280401
Naive,16384,11,562,32.097372,155775.991902,0
Full_Precalc,16384,11,795308153,0.094492,52914789.483643,1073872896
Block_Decomp,16384,11,77152,1.729766,2890564.709324,512
Sparse_Table,16384,11,2876821,0.120838,41377744.496830,1114112
Segment_Tree,16384,11,316704,1.980864,2524150.552511,262148
Hybrid_1,16384,11,151262,0.579038,8635008.434590,60892
Hybrid_2,16384,11,873850,0.377859,13232446.969870,463484
Hybrid_3,16384,11,789654,0.965290,5179788.050159,215420
Fischer_Heun,16384,11,494731,0.206849,24172188.126223,280401
Naive,16384,12,469,32.246748,155054.397246,0
Full_Precalc,16384,12,785406747,0.097124,51480837.540099,1073872896
Block_Decomp,16384,12,77231,1.753395,2851611.269013,512
Sparse_Table,16384,12,1969073,0.099349,50327414.051044,1114112
Segment_Tree,16384,12,276804,1.989222,2513545.084754,262148
Hybrid_1,16384,12,153201,0.567163,8815805.733974,60892
Hybrid_2,16384,12,991999,0.375131,13328694.663245,463484
Hybrid_3,16384,12,746358,0.939007,5324772.893324,215420
Fischer_Heun,16384,12,450205,0.186112,26865591.109174,280058
Naive,16384,13,327,32.261693,154982.567288,0
Full_Precalc,16384,13,788753752,0.094966,52650185.522932,1073872896
Block_Decomp,16384,13,77360,1.742005,2870255.997260,512
Sparse_Table,16384,13,2301742,0.119192,41949017.111038,1114112
Segment_Tree,16384,13,315067,1.978632,2526998.298198,262148
Hybrid_1,16384,13,155253,0.629980,7936753.648322,60892
Hybrid_2,16384,13,1102807,0.360008,13888580.562400,463484
Hybrid_3,16384,13,1003839,0.936465,5339227.213708,215420
Fischer_Heun,16384,13,407425,0.218778,22854262.958818,279960
Naive,16384,14,223,31.931969,156582.891798,0
Full_Precalc,16384,14,782574455,0.096068,52046630.158176,1073872896
Block_Decomp,16384,14,93051,1.785268,2800699.859942,512
Sparse_Table,16384,14,2271942,0.095366,52429842.160170,1114112
Segment_Tree,16384,14,282339,1.976391,2529863.392942,262148
Hybrid_1,16384,14,160156,0.556755,8980610.861151,60892
Hybrid_2,16384,14,972505,0.370117,13509224.407787,463484
Hybrid_3,16384,14,754198,0.981806,5092655.831118,215420
Fischer_Heun,16384,14,446639,0.195748,25543030.524861,279911
Naive,16384,15,338,31.795433,157255.290401,0
Full_Precalc,16384,15,795591099,0.092562,54018024.907409,1073872896
Block_Decomp,16384,15,82489,1.986386,2517133.953363,512
Sparse_Table,16384,15,2077145,0.119502,41840397.060682,1114112
Segment_Tree,16384,15,362958,1.941475,2575361.715347,262148
Hybrid_1,16384,15,181917,0.596276,8385384.123864,60892
Hybrid_2,16384,15,929459,0.383471,13038782.065726,463484
Hybrid_3,16384,15,791635,0.940695,5315220.603639,215420
Fischer_Heun,16384,15,394441,0.243847,20504652.636913,280058
Naive,16384,16,527,31.799262,157236.355124,0
Full_Precalc,16384,16,769239335,0.096555,51783860.257069,1073872896
Block_Decomp,16384,16,82229,1.742118,2870068.850185,512
Sparse_Table,16384,16,1997374,0.109247,45767828.319750,1114112
Segment_Tree,16384,16,279655,1.990665,2511723.240916,262148
Hybrid_1,16384,16,153545,0.578830,8638108.505226,60892
Hybrid_2,16384,16,827851,0.369596,13528285.084560,463484
Hybrid_3,16384,16,760412,0.963985,5186801.698424,215420
Fischer_Heun,16384,16,487534,0.194924,25651048.887036,279421
Naive,16384,17,264,31.803251,157216.631691,0
Full_Precalc,16384,17,777986665,0.093747,53334815.898989,1073872896
Block_Decomp,16384,17,77282,1.813846,2756574.060028,512
Sparse_Table,16384,17,2010973,0.127019,39364253.140647,1114112
Segment_Tree,16384,17,395230,1.989563,2513114.977003,262148
Hybrid_1,16384,17,158637,0.605233,8261274.627006,60892
Hybrid_2,16384,17,993133,0.373169,13398760.445298,463484
Hybrid_3,16384,17,732403,0.957024,5224528.315321,215420
Fischer_Heun,16384,17,508703,0.200256,24968099.757026,280205
Naive,16384,18,445,31.692724,157764.917933,0
Full_Precalc,16384,18,782388038,0.095576,52314602.020327,1073872896
Block_Decomp,16384,18,77040,1.725865,2897097.788949,512
Sparse_Table,16384,18,2444477,0.126027,39673968.845778,1114112
Segment_Tree,16384,18,266123,1.984697,2519275.835975,262148
Hybrid_1,16384,18,163187,0.666987,7496397.418810,60892
Hybrid_2,16384,18,1181331,0.488406,10237383.737488,463484
Hybrid_3,16384,18,930070,1.018534,4909017.762049,215420
Fischer_Heun,16384,18,530566,0.192164,26019474.629651,280695
Naive,16384,19,252,31.749079,157484.883887,0
Full_Precalc,16384,19,783081680,0.092460,54077298.523127,1073872896
Block_Decomp,16384,19,77020,1.714430,2916420.825272,512
Sparse_Table,16384,19,2110176,0.113835,43923048.189970,1114112
Segment_Tree,16384,19,266762,2.062102,2424709.897730,262148
Hybrid_1,16384,19,165661,0.599551,8339574.643198,60892
Hybrid_2,16384,19,1327711,0.387480,12903878.093327,463484
Hybrid_3,16384,19,726688,0.982587,5088609.322977,215420
Fischer_Heun,16384,19,548677,0.199323,25084925.265335,280205
Naive,16384,20,312,33.286151,150212.622168,0
Full_Precalc,16384,20,821181297,0.094291,53027230.745036,1073872896
Block_Decomp,16384,20,82124,1.810422,2761786.409993,512
Sparse_Table,16384,20,2214492,0.124032,40312016.296116,1114112
Segment_Tree,16384,20,292049,2.087538,2395166.268200,262148
Hybrid_1,16384,20,173665,0.617145,8101820.123474,60892
Hybrid_2,16384,20,920725,0.396162,12621108.114714,463484
Hybrid_3,16384,20,896187,0.976280,5121480.382834,215420
Fischer_Heun,16384,20,463001,0.228741,21858782.081561,279813
Naive,16384,21,206,33.448760,149482.372543,0
Full_Precalc,16384,21,816638401,0.073806,67745363.442968,1073872896
Block_Decomp,16384,21,61798,1.819901,2747402.758462,512
Sparse_Table,16384,21,1969403,0.123987,40326899.526014,1114112
Segment_Tree,16384,21,289408,2.067139,2418801.755110,262148
Hybrid_1,16384,21,164830,0.601978,8305953.532735,60892
Hybrid_2,16384,21,890791,0.407803,12260807.462842,463484
Hybrid_3,16384,21,889722,1.229598,4066368.703283,215420
Fischer_Heun,16384,21,463752,0.191771,26072763.597491,280156
Naive,16384,22,204,33.423922,149593.457612,0
Full_Precalc,16384,22,807015926,0.092229,54212734.434703,1073872896
Block_Decomp,16384,22,77229,1.835846,2723540.106149,512
Sparse_Table,16384,22,1906185,0.114531,43656225.282118,1114112
Segment_Tree,16384,22,307407,2.159128,2315749.867439,262148
Hybrid_1,16384,22,196064,0.603532,8284563.420201,60892
Hybrid_2,16384,22,1149734,0.392574,12736440.718345,463484
Hybrid_3,16384,22,834851,0.973944,5133763.925661,215420
Fischer_Heun,16384,22,576865,0.229004,21833704.168610,279470
Naive,16384,23,189,33.405651,149675.273701,0
Full_Precalc,16384,23,810876339,0.094938,52665927.665392,1073872896
Block_Decomp,16384,23,72602,1.793510,2787830.183867,512
Sparse_Table,16384,23,2696357,0.119340,41897039.633946,1114112
Segment_Tree,16384,23,384966,2.061369,2425572.654151,262148
Hybrid_1,16384,23,138946,0.590314,8470071.198233,60892
Hybrid_2,16384,23,876010,0.386545,12935109.767147,463484
Hybrid_3,16384,23,700969,0.972683,5140420.433178,215420
Fischer_Heun,16384,23,430756,0.202244,24722640.772410,279911
Naive,16384,24,327,33.424561,149590.595302,0
Full_Precalc,16384,24,836536173,0.091205,54821794.465790,1073872896
Block_Decomp,16384,24,100251,1.849283,2703750.704244,512
Sparse_Table,16384,24,2520899,0.112856,44304394.904707,1114112
Segment_Tree,16384,24,315098,2.207218,2265294.809567,262148
Hybrid_1,16384,24,233979,0.748935,6676147.606307,60892
Hybrid_2,16384,24,886473,0.399987,12500394.949978,463484
Hybrid_3,16384,24,737356,0.991824,5041217.544134,215420
Fischer_Heun,16384,24,455936,0.190984,26180184.248911,280254
Naive,16384,25,660,33.441154,149516.369920,0
Full_Precalc,16384,25,815800679,0.079121,63194037.202759,1073872896
Block_Decomp,16384,25,65274,1.836840,2722066.053361,512
Sparse_Table,16384,25,2333029,0.114064,43835125.677103,1114112
Segment_Tree,16384,25,397140,2.100613,2380257.740135,262148
Hybrid_1,16384,25,139846,0.600876,8321184.653375,60892
Hybrid_2,16384,25,954120,0.377459,13246479.382501,463484
Hybrid_3,16384,25,673242,0.988098,5060226.527700,215420
Fischer_Heun,16384,25,460053,0.204983,24392280.003392,280156
Naive,16384,26,322,33.208322,150564.669783,0
Full_Precalc,16384,26,818380556,0.072096,69351718.307413,1073872896
Block_Decomp,16384,26,61724,1.801735,2775102.552708,512
Sparse_Table,16384,26,1946094,0.118033,42360876.355371,1114112
Segment_Tree,16384,26,288476,2.065776,2420398.280216,262148
Hybrid_1,16384,26,170351,0.601366,8314401.344471,60892
Hybrid_2,16384,26,918869,0.387551,12901541.514369,463484
Hybrid_3,16384,26,662971,0.982045,5091417.340257,215420
Fischer_Heun,16384,26,510244,0.234395,21331528.151341,280303
Naive,16384,27,197,33.269696,150286.914311,0
Full_Precalc,16384,27,798809456,0.069521,71920464.251775,1073872896
Block_Decomp,16384,27,73061,1.821680,2744719.728360,512
Sparse_Table,16384,27,2452054,0.110926,45075214.576502,1114112
Segment_Tree,16384,27,302520,2.307043,2167276.735634,262148
Hybrid_1,16384,27,185506,0.653948,7645864.909131,60892
Hybrid_2,16384,27,1424203,0.398659,12542044.759357,463484
Hybrid_3,16384,27,876120,0.962382,5195443.535337,215420
Fischer_Heun,16384,27,430270,0.192994,25907506.533174,280156
Naive,16384,28,675,33.806019,147902.656278,0
Full_Precalc,16384,28,814526525,0.092019,54336789.812452,1073872896
Block_Decomp,16384,28,82102,1.786262,2799141.193475,512
Sparse_Table,16384,28,2519656,0.132336,37782744.428683,1114112
Segment_Tree,16384,28,293438,2.100843,2379996.817897,262148
Hybrid_1,16384,28,173628,0.601522,8312250.335535,60892
Hybrid_2,16384,28,1131358,0.398231,12555522.308811,463484
Hybrid_3,16384,28,738585,1.001884,4990598.844643,215420
Fischer_Heun,16384,28,489040,0.191701,26082261.261108,280352
Naive,16384,29,281,33.316620,150075.248405,0
Full_Precalc,16384,29,812520161,0.092888,53828199.077695,1073872896
Block_Decomp,16384,29,81690,1.891749,2643056.232654,512
Sparse_Table,16384,29,2763192,0.120971,41332229.685647,1114112
Segment_Tree,16384,29,387798,2.063982,2422502.182068,262148
Hybrid_1,16384,29,162628,0.635110,7872657.695982,60892
Hybrid_2,16384,29,1350296,0.438066,11413801.135065,463484
Hybrid_3,16384,29,991135,1.004805,4976090.432840,215420
Fischer_Heun,16384,29,494975,0.210214,23785258.654960,279666
Naive,16384,30,337,33.420953,149606.743639,0
Full_Precalc,16384,30,817238579,0.096224,51961876.236517,1073872896
Block_Decomp,16384,30,77117,2.049010,2440203.016633,512
Sparse_Table,16384,30,2659466,0.130404,38342470.344016,1114112
Segment_Tree,16384,30,391546,2.086734,2396089.044805,262148
Hybrid_1,16384,30,179380,0.605263,8260869.945936,60892
Hybrid_2,16384,30,923350,0.389702,12830310.637884,463484
Hybrid_3,16384,30,684420,0.971959,5144248.964390,215420
Fischer_Heun,16384,30,459440,0.214339,23327583.923689,280597
Naive,65536,1,328,26.524336,37701.226052,0
Block_Decomp,65536,1,300319,0.623866,1602908.468440,1024
Sparse_Table,65536,1,8713174,0.035122,28472006.764265,4980736
Segment_Tree,65536,1,1321596,0.512435,1951466.253684,1048580
Hybrid_1,65536,1,584867,0.136272,7338249.892271,245760
Hybrid_2,65536,1,3798523,0.102886,9719458.426722,2113560
Hybrid_3,65536,1,2244566,0.225781,4429062.212955,704536
Fischer_Heun,65536,1,1470338,0.055961,17869657.041789,1121896
Naive,65536,2,418,26.414650,37857.779146,0
Block_Decomp,65536,2,312171,0.616097,1623119.920110,1024
Sparse_Table,65536,2,7712636,0.031735,31511012.610487,4980736
Segment_Tree,65536,2,1344334,0.524183,1907730.329521,1048580
Hybrid_1,65536,2,568183,0.130456,7665405.538817,245760
Hybrid_2,65536,2,3581673,0.103534,9658628.057756,2113560
Hybrid_3,65536,2,2621238,0.222487,4494640.610762,704536
Fischer_Heun,65536,2,1356175,0.052457,19063128.445815,1120488
Naive,65536,3,301,26.524425,37701.100324,0
Block_Decomp,65536,3,370711,0.776980,1287034.577633,1024
Sparse_Table,65536,3,20163546,0.067930,14720997.136751,4980736
Segment_Tree,65536,3,1853960,1.883076,531045.970213,1048580
Hybrid_1,65536,3,892983,0.220866,4527624.000676,245760
Hybrid_2,65536,3,4541512,0.138768,7206279.298119,2113560
Hybrid_3,65536,3,3055010,0.303929,3290245.972044,704536
Fischer_Heun,65536,3,2010036,0.057062,17524813.865885,1122344
Naive,65536,4,1053,30.997199,32260.979862,0
Block_Decomp,65536,4,331773,0.622407,1606666.906746,1024
Sparse_Table,65536,4,8033161,0.038312,26101556.143455,4980736
Segment_Tree,65536,4,1795425,0.537179,1861577.882684,1048580
Hybrid_1,65536,4,580222,0.136193,7342534.429658,245760
Hybrid_2,65536,4,3915462,0.104893,9533566.993433,2113560
Hybrid_3,65536,4,2308696,0.224991,4444624.580140,704536
Fischer_Heun,65536,4,1487019,0.056097,17826288.099056,1121320
Naive,65536,5,365,26.607588,37583.264092,0
Block_Decomp,65536,5,298763,0.595866,1678229.522631,1024
Sparse_Table,65536,5,8096195,0.034756,28771998.998504,4980736
Segment_Tree,65536,5,1317607,0.522423,1914158.761698,1048580
Hybrid_1,65536,5,526865,0.136653,7317828.245668,245760
Hybrid_2,65536,5,4140223,0.102859,9722045.456532,2113560
Hybrid_3,65536,5,2233588,0.220174,4541855.806007,704536
Fischer_Heun,65536,5,1641854,0.048226,20735897.510919,1121000
Naive,65536,6,283,26.040493,38401.731059,0
Block_Decomp,65536,6,291331,0.605561,1651362.003252,1024
Sparse_Table,65536,6,8491978,0.031858,31389671.285165,4980736
Segment_Tree,65536,6,1392084,0.511903,1953494.420293,1048580
Hybrid_1,65536,6,492049,0.132484,7548054.101463,245760
Hybrid_2,65536,6,3573170,0.101571,9845284.116784,2113560
Hybrid_3,65536,6,2498924,0.216103,4627423.034386,704536
Fischer_Heun,65536,6,1545022,0.051653,19359792.943143,1122408
Naive,65536,7,369,25.974840,38498.793030,0
Block_Decomp,65536,7,355794,0.618673,1616361.504242,1024
Sparse_Table,65536,7,8281839,0.033486,29863233.557483,4980736
Segment_Tree,65536,7,1279973,0.512716,1950398.761562,1048580
Hybrid_1,65536,7,610735,0.144363,6926995.775024,245760
Hybrid_2,65536,7,4479995,0.118874,8412241.278155,2113560
Hybrid_3,65536,7,2685296,0.236530,4227795.355612,704536
Fischer_Heun,65536,7,1596856,0.060568,16510340.707061,1122856
Naive,65536,8,451,26.029717,38417.628565,0
Block_Decomp,65536,8,290970,0.598116,1671917.761883,1024
Sparse_Table,65536,8,8102781,0.036654,27281904.905537,4980736
Segment_Tree,65536,8,1609796,0.528182,1893288.074156,1048580
Hybrid_1,65536,8,525308,0.134303,7445862.252442,245760
Hybrid_2,65536,8,4073504,0.107482,9303864.310731,2113560
Hybrid_3,65536,8,2354326,0.220087,4543667.004896,704536
Fischer_Heun,65536,8,1662958,0.057123,17506081.831654,1122984
Naive,65536,9,389,26.203491,38162.853569,0
Block_Decomp,65536,9,274082,0.612079,1633776.520647,1024
Sparse_Table,65536,9,10975845,0.035563,28118865.078740,4980736
Segment_Tree,65536,9,1418684,0.513947,1945727.658862,1048580
Hybrid_1,65536,9,493064,0.133182,7508548.332105,245760
Hybrid_2,65536,9,3699607,0.106872,9356986.485190,2113560
Hybrid_3,65536,9,2460727,0.222710,4490147.419936,704536
Fischer_Heun,65536,9,1630353,0.057493,17393490.482708,1122344
Naive,65536,10,516,26.196787,38172.619525,0
Block_Decomp,65536,10,273021,0.603581,1656778.498983,1024
Sparse_Table,65536,10,8536985,0.037428,26717897.344228,4980736
Segment_Tree,65536,10,1430309,0.508418,1966884.157570,1048580
Hybrid_1,65536,10,663306,0.138443,7223177.796477,245760
Hybrid_2,65536,10,4048095,0.104537,9565997.668939,2113560
Hybrid_3,65536,10,2201990,0.223775,4468778.832002,704536
Fischer_Heun,65536,10,1427375,0.054975,18189998.389458,1122088
Naive,65536,11,677,25.960610,38519.896131,0
Block_Decomp,65536,11,309116,0.599965,1666764.925237,1024
Sparse_Table,65536,11,8213317,0.036284,27560085.257675,4980736
Segment_Tree,65536,11,1448234,0.518371,1929121.517434,1048580
Hybrid_1,65536,11,550229,0.134428,7438927.244204,245760
Hybrid_2,65536,11,3416670,0.112955,8853098.212987,2113560
Hybrid_3,65536,11,2710505,0.224164,4461025.361951,704536
Fischer_Heun,65536,11,1436460,0.058911,16974693.414121,1120424
Naive,65536,12,314,26.311734,38005.856859,0
Block_Decomp,65536,12,300722,0.590490,1693508.795183,1024
Sparse_Table,65536,12,7671289,0.034680,28835027.684366,4980736
Segment_Tree,65536,12,1352300,0.508113,1968067.053241,1048580
Hybrid_1,65536,12,634067,0.132670,7537478.377613,245760
